mplayer 38157-2
mtdev 1.1.6-1
mtools 4.0.24-1
muparser 2.3.2-1
mypaint-brushes1 1.3.1-1
nano 4.9.3-1
ncurses 6.2-1
ndctl 68-2
neon 0.31.2-1
net-snmp 5.8-6
net-tools 1.60.20181103git-2
netcdf 4.7.4-1
netctl 1.23-1
nethack 3.6.6-1
netpbm 10.73.32-1
nettle 3.6-1
network-manager-applet 1.18.0-1
networkmanager 1.26.0-1
ngspice 32-1
ninja 1.10.0-1
nintendo-labo-font 1.0-1
nm-connection-editor 1.18.0-1
nmap 7.80-2
node-gyp 7.0.0-2
nodejs 14.5.0-1
noto-fonts 20190926-4
noto-fonts-emoji 20191016-6
npm 6.14.6-1
npth 1.6-2
nspr 4.26-1
nss 3.54-1
nss-mdns 0.14.1-3
nvidia 450.57-3
nvidia-settings 450.57-1
nvidia-utils 450.57-2
ocl-icd 2.2.12-4
openal 1.20.1-2
opencascade 7.4.0-2
opencl-nvidia 450.57-2
opencore-amr 0.1.5-4
opencsg 1.4.2-3
opencv 4.3.0-7
openexr 2.5.2-1
openjpeg2 2.3.1-2
openmpi 4.0.4-1
openresolv 3.10.0-1
openscad 2019.05-7
openssh 8.3p1-3
openssl 1.1.1.g-2
openssl-1.0 1.0.2.u-1
optimus-manager 1.3.1-1
optimus-manager-qt 1.5.3-1
opus 1.3.1-2
opusfile 0.11-2
orage 4.12.1-5
orc 0.4.31-2
ostree 2020.3-2
p11-kit 0.23.20-5
p7zip 16.02-6
package-query 1.11-1
pacman 5.2.2-1
pacman-contrib 1.3.0-2
pacman-mirrorlist 20200606-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
parted 3.3-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
perl 5.32.0-1
perl-clone 0.45-2
perl-encode-locale 1.05-7
perl-error 0.17029-2
perl-file-listing 6.04-8
perl-file-next 1.18-2
perl-html-parser 3.72-10
perl-html-tagset 3.20-10
perl-http-cookies 6.08-3
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.25-1
perl-http-negotiate 6.01-8
perl-io-html 1.001-7
perl-libwww 6.46-1
perl-lwp-mediatypes 6.02-8
perl-mailtools 2.21-4
perl-net-http 6.19-4
perl-timedate 2.33-2
perl-try-tiny 0.30-5
perl-uri 1.76-4
perl-www-robotrules 6.02-8
perl-xml-parser 2.46-2
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
picocom 3.1-2
pinentry 1.1.0-5
pipewire 0.3.6-1
pixman 0.40.0-1
pkgconf 1.7.3-1
pkgfile 21-2
polkit 0.116-5
polkit-gnome 0.105-5
polkit-qt5 0.113.0-2
polyclipping 6.4.2-3
poppler 0.90.1-1
poppler-data 0.4.9-2
poppler-glib 0.90.1-1
poppler-qt5 0.90.1-1
popt 1.18-1
potrace 1.16-2
powertop 2.13-1
printrun 1:1.6.0-3
processing 3.5.4-2
processing-examples 3.3.3-3
procps-ng 3.3.16-2
protobuf 3.12.3-1
psmisc 23.3-2
pugixml 1.10-2
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 13.0-3
pygobject-devel 3.36.1-1
pygtk 2.24.0-12
pyside2 5.15.0-2
pyside2-tools 5.15.0-1
python 3.8.3-1
python-anytree 2.8.0-1
python-appdirs 1.4.4-1
python-asn1crypto 1.3.0-1
python-attrs 19.3.0-4
python-backcall 0.2.0-1
python-beaker 1.11.0-4
python-bleach 3.1.5-1
python-cachecontrol 0.12.6-1
python-cairo 1.19.1-1
python-certifi 2020.6.20-1
python-cffi 1.14.0-3
python-chardet 3.0.4-5
python-colorama 0.4.3-1
python-contextlib2 0.6.0.post1-1
python-cryptography 2.9.2-1
python-cycler 0.10.0-6
python-dateutil 2.8.1-3
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-decorator 4.4.2-1
python-defusedxml 0.6.0-4
python-distlib 0.3.1-1
python-distro 1.5.0-1
python-ecdsa 0.15-1
python-entrypoints 0.3-3
python-gobject 3.36.1-1
python-html5lib 1.1-1
python-idna 2.10-1
python-importlib-metadata 1.6.1-1
python-ipykernel 5.3.0-1
python-ipywidgets 7.5.1-4
python-jedi 0.17.0-1
python-jinja 2.11.2-1
python-json5 0.9.5-1
python-jsonschema 3.2.0-2
python-jupyter_client 6.1.3-1
python-jupyter_core 4.6.3-2
python-kiwisolver 1.2.0-1
python-lockfile 0.12.2-6
python-lxml 4.5.2-1
python-mako 1.1.3-1
python-markdown 3.2.2-1
python-markupsafe 1.1.1-4
